Neighborhood (group),Number of Records,Age,Chas,Crim,Dis,Indus,Lstat,Mv,Neighborhood,Nox,Ptratio,Rad,Rooms,Tax,Zn
GroupB,1,77,0,5.73116,3.4106,18.1,7.01,25,West_Roxbury,0.532,20.2,24,7.061,666,0
GroupB,1,40.3,0,2.81838,4.0983,18.1,10.42,21.8,West_Roxbury,0.532,20.2,24,5.762,666,0
GroupA,1,41.9,0,2.37857,3.724,18.1,13.34,20.6,Hyde_Park,0.583,20.2,24,5.871,666,0
GroupA,1,51.9,0,3.67367,3.9917,18.1,10.58,21.2,Hyde_Park,0.583,20.2,24,6.312,666,0
GroupA,1,79.8,0,5.69175,3.5459,18.1,14.98,19.1,Hyde_Park,0.583,20.2,24,6.114,666,0
GroupA,1,53.2,0,4.83567,3.1523,18.1,11.45,20.6,Hyde_Park,0.583,20.2,24,5.905,666,0
GroupF,1,92.7,0,0.15086,1.8209,27.74,18.06,15.2,Chelsea,0.609,20.1,4,5.454,711,0
GroupF,1,98.3,0,0.18337,1.7554,27.74,23.97,7,Chelsea,0.609,20.1,4,5.414,711,0
GroupF,1,98,0,0.20746,1.8226,27.74,29.68,8.1,Chelsea,0.609,20.1,4,5.093,711,0
GroupF,1,98.8,0,0.10574,1.8681,27.74,18.07,13.6,Chelsea,0.609,20.1,4,5.983,711,0
GroupF,1,83.5,0,0.11132,2.1099,27.74,13.35,20.1,Chelsea,0.609,20.1,4,5.983,711,0
GroupA,1,54,0,0.17331,2.3817,9.69,12.01,21.8,Revere,0.585,19.2,6,5.707,391,0
GroupA,1,42.6,0,0.27957,2.3817,9.69,13.59,24.5,Revere,0.585,19.2,6,5.926,391,0
GroupA,1,28.8,0,0.17899,2.7986,9.69,17.6,23.1,Revere,0.585,19.2,6,5.67,391,0
GroupA,1,72.9,0,0.2896,2.7986,9.69,21.14,19.7,Revere,0.585,19.2,6,5.39,391,0
GroupA,1,70.6,0,0.26838,2.8927,9.69,14.1,18.3,Revere,0.585,19.2,6,5.794,391,0
GroupA,1,65.3,0,0.23912,2.4091,9.69,12.92,21.2,Revere,0.585,19.2,6,6.019,391,0
GroupA,1,73.5,0,0.17783,2.3999,9.69,15.1,17.5,Revere,0.585,19.2,6,5.569,391,0
GroupA,1,79.7,0,0.22438,2.4982,9.69,14.33,16.8,Revere,0.585,19.2,6,6.027,391,0
GroupB,1,69.1,0,0.06263,2.4786,11.93,9.67,22.4,Winthrop,0.573,21,1,6.593,273,0
GroupB,1,76.7,0,0.04527,2.2875,11.93,9.08,20.6,Winthrop,0.573,21,1,6.12,273,0
GroupB,1,91,0,0.06076,2.1675,11.93,5.64,23.9,Winthrop,0.573,21,1,6.976,273,0
GroupB,1,89.3,0,0.10959,2.3889,11.93,6.48,22,Winthrop,0.573,21,1,6.794,273,0
GroupB,1,80.8,0,0.04741,2.505,11.93,7.88,19,Winthrop,0.573,21,1,6.03,273,0
